Ganymed, 1036, 18.838, 167, Amor asteroid type S
Linus, Kalliope I, 14, 60, asteroid moon of 22 Kalliope
Hippocamp, Neptune XIV, 17.4, 50, moon of Neptune
Hydra, Pluto III, 19.65, 48, moon of Pluto
Nix, Pluto II, 19.017, 45, moon of Pluto
Ida, 243, 15.7, 42, belt asteroid type S binary
Gaspra, 951, 6.266, 20, belt asteroid type S
Kerberos, Pluto IV, 6.333, 16, moon of Pluto
Phobos, Mars I, 11.1, 10.659, moon of Mars
Styx, Pluto V, 5.5, 7.65, moon of Pluto
Eros, 433, 8.42, 6.687, Amor asteroid type S
Atlas, Saturn XV, 15.1, 6.6, moon of Saturn
Pan, Saturn XVIII, 14.1, 4.95, moon of Saturn
Deimos, Mars II, 6.2, 1.476, moon of Mars
Balam, 3749, 2.332, 0.51, belt asteroid type S trinary
Halley's Comet, 1P, 5.75, 0.22, comet
Florence, 3122, 2.201, 0.079, Amor asteroid type S trinary
Daphnis, Saturn XXXV, 3.8, 0.077, moon of Saturn
Toutatis, 4179, 1.516, 0.0505, Apollo asteroid type S
Churyumov–Gerasimenko, 67P, 2, 0.00998, Jupiter-family comet
2001 SN263, 153591, 1.315, 0.00951, Amor asteroid type C trinary
